sample_idx,psnr_cnn,psnr_gan,ssim_cnn,ssim_gan,abs_delta_psnr,abs_delta_ssim,mt_cnn,mt_gan,pd_cnn,pd_gan,delta_mt_cnn_minus_gan,delta_pd_cnn_minus_gan,winner_mt,winner_pd,cnn_lr_mae,gan_lr_mae,cnn_lr_mse,gan_lr_mse,cnn_lr_psnr,gan_lr_psnr,winner_lr_mae,winner_lr_mse,winner_lr_psnr,winner_lr_group,cnn_err_abs_max,gan_err_abs_max,winner_extreme_abs_max,cnn_exceed_err_q90,gan_exceed_err_q90,winner_exceed_q90,cnn_exceed_err_q95,gan_exceed_err_q95,winner_exceed_q95,cnn_tail_mae,gan_tail_mae,winner_tail_mae,winner_extreme_group,cnn_wpd_rmse,gan_wpd_rmse,winner_wpd_rmse,cnn_wpd_mae,gan_wpd_mae,winner_wpd_mae,cnn_psd_log_l2,gan_psd_log_l2,winner_psd_log_l2,cnn_grad_mae,gan_grad_mae,winner_grad_mae,winner_physics_group,agree_mt_winner_lr_mae,agree_mt_winner_lr_mse,agree_mt_winner_lr_psnr,agree_mt_winner_lr_group,agree_mt_winner_extreme_abs_max,agree_mt_winner_extreme_group,agree_mt_winner_tail_mae,agree_mt_winner_physics_group,topology_gap_abs,agreement_score,metric,threshold
2,16.325587716001714,16.142385696970333,0.33797692051556255,0.31025403759712333,0.18320201903138056,0.027722882918439218,8.620122909545898,20.582368850708008,31.856382022083032,29.521783271831712,-11.96224594116211,2.3345987502513204,cnn,gan,0.5181370130355505,0.6512805525297288,0.7139197547903506,0.9796677513871693,30.852812711112122,29.478518583296644,cnn,cnn,cnn,cnn,6.347786049992845,19.46621808093435,cnn,0.02333600000000001,0.01251200000000001,gan,0.00013200000000000017,0.008867999999999994,cnn,4.13715523357703,4.069170350054321,gan,tie,1435.435548221455,1803.9780783777649,cnn,728.7857135922824,777.0983994628052,cnn,0.7342136774294346,0.6884347856380263,gan,0.3933487378948074,0.450007527466977,cnn,cnn,1,1,1,1,1,na,0,1,,,,
165,18.829824383784267,18.796558773266824,0.39130312188591976,0.3366264402358044,0.03326561051744292,0.054676681650115355,6.0691375732421875,17.23923683166504,31.75828742588738,31.387598684096837,-11.170099258422852,0.3706887417905449,cnn,gan,0.37785054954481057,0.5154179007302168,0.3209803685466323,0.5122487805371986,33.301040689258954,31.271016071044926,cnn,cnn,cnn,cnn,1.9249793068857066,16.006104743547965,cnn,0.07913599999999998,0.08827199999999999,cnn,0.046035999999999994,0.05266799999999999,cnn,7.482462086863882,7.116668598004642,gan,cnn,658.7352174574103,757.5369246958767,cnn,337.12249497374995,344.3404159973583,cnn,0.548563420722014,0.6382251714846859,cnn,0.2561963406107582,0.310628116575131,cnn,cnn,1,1,1,1,1,1,0,1,11.170099258422852,1.0,psnr,0.1
167,17.155481513049963,17.076595136713557,0.3756694349850773,0.32677890272365656,0.07888637633640627,0.04889053226142076,6.6002302169799805,17.770305633544922,30.990816539487366,30.0561922065563,-11.170075416564941,0.9346243329310653,cnn,gan,0.40053387112735156,0.5642590385955145,0.3759106364822494,0.6275813297666571,33.05796172381702,30.832107716750194,cnn,cnn,cnn,cnn,3.165748829030523,15.959441562419528,cnn,0.05305200000000001,0.049308000000000005,gan,0.019744,0.018692,gan,6.941390550223028,6.7516737864768475,gan,gan,883.7056591180799,1028.7718285674669,cnn,451.9936614845786,463.92985407103896,cnn,0.6543034943243609,0.5651509029325865,gan,0.3056520167011621,0.3553591093970076,cnn,cnn,1,1,1,1,1,0,0,1,11.170075416564941,0.6666666666666666,psnr,0.1
164,19.078997239644963,19.02962405850952,0.4280196940730591,0.36159807075913336,0.049373181135443645,0.06642162331392576,5.357566833496094,16.521671295166016,29.936231594018913,29.553162727620826,-11.164104461669922,0.38306886639808724,cnn,gan,0.337700537272297,0.4684251304009177,0.259012222743606,0.42849147011150723,32.9936028638329,30.807383642948547,cnn,cnn,cnn,cnn,0.9548746349940274,15.033610940980584,cnn,0.15042399999999997,0.157936,cnn,0.15989599999999998,0.16405199999999998,cnn,6.547069760378591,6.241807441172088,gan,cnn,622.8400957411694,677.9948311159771,cnn,342.13177059624826,349.0758544005997,cnn,0.6171313518690699,0.736260820187019,cnn,0.21347394281548054,0.26418402540258556,cnn,cnn,1,1,1,1,1,1,0,1,11.164104461669922,1.0,psnr,0.1
166,17.513411684673617,17.45886491905646,0.380259426014302,0.3264541243700095,0.05454676561715743,0.053805301644292536,8.542560577392578,19.505754470825195,32.033350354858115,28.603206832860916,-10.963193893432617,3.4301435219971985,cnn,gan,0.3957008486337555,0.5453711496039096,0.35190295409368344,0.5886227772230681,33.353892187024904,31.11975067836137,cnn,cnn,cnn,cnn,6.443990687922948,18.113375028005578,cnn,0.024136000000000005,0.022176,gan,0.02952,0.024912000000000004,gan,7.564569324101982,7.158818555679482,gan,gan,805.9098923912053,915.0610151010482,cnn,380.1422111673501,382.65887157946224,cnn,0.6403269951109684,0.6087479654333766,gan,0.2855060978025969,0.3323622094722063,cnn,cnn,1,1,1,1,1,0,0,1,10.963193893432617,0.6666666666666666,psnr,0.1
29,16.003372679588484,15.860668465760192,0.20384787222357859,0.17036636552583403,0.14270421382829213,0.03348150669774455,19.336769104003906,11.545421600341797,50.67545070043154,50.645910649963795,7.791347503662109,0.02954005046774455,gan,gan,0.6498180713468406,0.7441059173934974,0.8897009294319445,1.009211207487351,34.52521578007286,33.97783557467117,cnn,cnn,cnn,cnn,14.509033477277931,19.295150256978175,cnn,0.09007599999999999,0.098304,cnn,0.115212,0.12332800000000001,cnn,16.339775268004587,16.588560224288727,cnn,cnn,13352.866592584005,13957.792584674406,cnn,5599.1654416626625,5887.155839790641,cnn,1.126738732487671,1.0855628632442889,gan,0.5699159309506391,0.5808974587952652,cnn,cnn,0,0,0,0,0,0,0,0,,,,
26,15.113623071003978,14.9222219431126,0.2100958601563711,0.20343403106965358,0.1914011278913783,0.00666182908671753,16.670108795166016,9.144110679626465,46.494795947919556,46.5841045001402,7.525998115539551,-0.08930855222064338,gan,cnn,0.7040381297246314,0.8322750883540926,0.9624852808352105,1.1989363397647557,33.46137439084422,32.50735411841794,cnn,cnn,cnn,cnn,9.782084880318543,17.293036917700448,cnn,0.242316,0.25142,cnn,0.279944,0.288228,cnn,12.904644680871478,13.472906096153254,cnn,cnn,15316.238760221398,16417.014366126015,cnn,8825.327538601736,9488.787184652785,cnn,0.9345724810222233,1.0013919720413609,cnn,0.5493026551349334,0.5640277450953792,cnn,cnn,0,0,0,0,0,0,0,0,,,,
0,16.795101577106887,16.63540492660454,0.38740059372405444,0.34048425185953946,0.15969665050234738,0.04691634186451499,7.4365081787109375,14.280324935913086,30.803790711467215,27.0071009905408,-6.843816757202148,3.796689720926416,cnn,gan,0.4892100564450028,0.6099837601712965,0.602537986502459,0.8251040190461488,30.903032023150697,29.537789316067414,cnn,cnn,cnn,cnn,5.43192134046544,12.856481077189603,cnn,0.027812000000000003,0.018792000000000003,gan,0.006984000000000004,0.0007919999999999941,gan,4.507457761048243,4.3668188521337985,gan,gan,1047.9299378272733,1260.188543589021,cnn,550.1231716779968,588.8793342697359,cnn,1.0013369877039693,0.6402985354440872,gan,0.3708194691661309,0.4183374258366924,cnn,cnn,1,1,1,1,1,0,0,1,,,,
30,16.42309854258925,16.270212496951036,0.19614170256741784,0.16853744636972218,0.1528860456382155,0.02760425619769566,18.372318267822266,11.98703384399414,49.16680339204763,48.950649005951355,6.385284423828125,0.21615438609627802,gan,gan,0.595617366505695,0.7008950994401175,0.7706802219888014,0.9071821075413793,34.89220865180761,34.184006029927914,cnn,cnn,cnn,cnn,17.410662579815266,26.904798467111668,cnn,0.025847999999999982,0.03891999999999998,cnn,0.056908,0.065792,cnn,15.921268352357366,16.214343726970817,cnn,cnn,11130.90280205148,11775.068407865981,cnn,4266.022216382993,4475.097545499313,cnn,1.223360014231088,1.1640101277584831,gan,0.558672892734588,0.5740297765282332,cnn,cnn,0,0,0,0,0,0,0,0,,,,
31,16.26763986033206,16.142516199199804,0.20478503988757057,0.18751787249164534,0.1251236611322568,0.017267167395925237,19.593469619750977,13.419205665588379,49.274969018550514,49.18106553774604,6.174263954162598,0.09390348080447097,gan,gan,0.5263076138038812,0.6626183160815979,0.5715412353524222,0.8049285610335645,35.831462721869094,34.344365037683005,cnn,cnn,cnn,cnn,18.466055213059917,23.492618969259993,cnn,0.025212000000000012,0.015128000000000003,gan,0.01653199999999999,0.02366399999999999,cnn,15.129040026885345,15.167863112830133,cnn,cnn,8190.423032261853,8650.646556606078,cnn,3082.654210538078,3209.453086997932,cnn,1.2386947406172855,1.1564475944776968,gan,0.5488260977310574,0.5581996589488811,cnn,cnn,0,0,0,0,0,0,0,0,,,,
